Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,DNA Test ID,DNA Sample Timestamp,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean
113041,06/23/2016 06:40:00 AM,12th Street,1414.0,1553.0,1481.9,,1,06/23/2016 06:41:00 AM,886,06/23/2016 01:34:00 PM,537.0,507.0,521.8
113048,06/23/2016 09:00:00 AM,Osterman,82.0,88.0,84.9,,1,06/23/2016 09:01:00 AM,,,,,
113075,06/24/2016 09:15:00 AM,Juneway,71.0,51.0,60.2,,1,06/24/2016 09:16:00 AM,,,,,
113062,06/24/2016 06:53:00 AM,12th Street,55.0,25.0,37.1,,1,06/24/2016 06:54:00 AM,891,06/24/2016 11:44:00 AM,10.0,49.0,22.1
113058,06/24/2016 07:20:00 AM,63rd Street,36.0,34.0,35.0,,5,06/24/2016 07:25:00 AM,947,06/24/2016 11:43:00 AM,22.0,27.0,24.4
113070,06/24/2016 08:45:00 AM,Hartigan,38.0,46.0,41.8,,1,06/24/2016 08:46:00 AM,,,,,
113067,06/24/2016 06:04:00 AM,Montrose,33.0,43.0,37.7,,2,06/24/2016 06:06:00 AM,888,06/24/2016 11:42:00 AM,30.0,48.0,37.9
113059,06/24/2016 07:35:00 AM,57th Street,13.0,13.0,13.0,,5,06/24/2016 07:40:00 AM,,,,,
113057,06/24/2016 07:05:00 AM,South Shore,75.0,59.0,66.5,,5,06/24/2016 07:10:00 AM,890,06/24/2016 11:43:00 AM,162.0,119.0,138.8
113065,06/24/2016 07:48:00 AM,North Avenue,34.0,17.0,24.0,,1,06/24/2016 07:49:00 AM,945,06/24/2016 11:43:00 AM,7.0,4.0,5.3
113064,06/24/2016 07:25:00 AM,Oak Street,10.0,4.0,6.3,,1,06/24/2016 07:26:00 AM,,,,,
113072,06/24/2016 09:10:00 AM,Fargo,75.0,83.0,78.9,,1,06/24/2016 09:11:00 AM,,,,,
113061,06/24/2016 06:31:00 AM,Margaret T Burroughs,55.0,25.0,37.1,,1,06/24/2016 06:32:00 AM,944,06/24/2016 11:42:00 AM,1305.0,5.0,80.8
113069,06/24/2016 08:30:00 AM,Osterman,17.0,19.0,18.0,,1,06/24/2016 08:31:00 AM,,,,,
